TV,Radio,Newspaper,Area,Prod_type,Sales
213.5,43,33.8,urban,Higher,21.7
193.2,18.4,65.7,suburban,Basic,32
76.3,27.5,16,rural,Basic,12
110.7,40.6,63.2,rural,Higher,16
88.3,25.5,73.4,rural,Medium,12.9
109.8,47.8,51.4,rural,Medium,16.7
134.3,4.9,9.3,suburban,Higher,11.2
28.6,1.5,33,urban,Basic,7.3
217.7,33.5,59,rural,Higher,19.4
250.9,36.5,72.3,suburban,Basic,48
107.4,14,10.9,suburban,Medium,11.5
163.3,31.6,52.9,suburban,Higher,16.9
197.6,3.5,5.9,rural,Basic,11.7
184.9,21,22,rural,Medium,15.5
289.7,42.3,51.2,rural,Higher,25.4
135.2,41.7,45.9,rural,Basic,17.2
222.4,4.3,49.8,suburban,Basic,23
296.4,36.3,100.9,suburban,Higher,23.8
280.2,10.1,21.4,rural,Medium,14.8
187.9,17.2,17.9,rural,Medium,14.7
238.2,34.3,5.3,rural,Higher,20.7
137.9,46.4,59,suburban,Basic,19.2
25,11,29.7,suburban,Basic,5
90.4,0.3,23.2,suburban,Higher,8.7
13.1,0.4,25.6,urban,Medium,5.3
255.4,26.9,5.5,rural,Medium,19.8
225.8,8.2,56.5,rural,Higher,13.4
241.7,38,23.2,rural,Basic,34
175.7,15.4,2.4,rural,Higher,14.1
209.6,20.6,10.7,suburban,Basic,15.9
78.2,46.8,34.5,rural,Medium,14.6
75.1,35,52.7,suburban,Higher,12.6
139.2,14.3,25.6,suburban,Basic,12.2
76.4,0.8,14.8,suburban,Medium,9.4
125.7,36.9,79.2,rural,Higher,15.9
19.4,16,22.3,urban,Basic,6.6
141.3,26.8,46.2,urban,Basic,15.5
18.8,21.7,50.4,rural,Higher,7
224,2.4,15.6,rural,Medium,11.6
123.1,34.6,12.4,suburban,Medium,15.2
229.5,32.3,74.2,urban,Higher,19.7
87.2,11.8,25.9,urban,Basic,10.6
7.8,38.9,50.6,rural,Basic,6.6
80.2,0,9.2,suburban,Higher,8.8
220.3,49,3.2,suburban,Medium,24.7
59.6,12,43.1,rural,Medium,9.7
0.7,39.6,8.7,suburban,Higher,1.6
265.2,2.9,43,rural,Basic,52
8.4,27.2,2.1,suburban,Higher,5.7
219.8,33.5,45.1,urban,Basic,19.6
36.9,38.6,65.6,urban,Medium,10.8
48.3,47,8.5,rural,Higher,11.6
25.6,39,9.3,rural,Basic,9.5
273.7,28.9,59.7,rural,Medium,20.8
43,25.9,20.5,rural,Higher,9.6
184.9,43.9,1.7,suburban,Basic,18
73.4,17,12.9,rural,Basic,10.9
193.7,35.4,75.6,rural,Higher,19.2
220.5,33.2,37.9,urban,Medium,20.1
104.6,5.7,34.4,suburban,Medium,10.4
96.2,14.8,38.9,rural,Higher,11.4
140.3,1.9,9,suburban,Basic,10.3
240.1,7.3,8.7,suburban,Basic,31
243.2,49,44.3,rural,Higher,25.4
38,40.3,11.9,suburban,Medium,10.9
44.7,25.8,20.6,suburban,Medium,10.1
280.7,13.9,37,rural,Higher,16.1
121,8.4,48.7,suburban,Basic,11.6
197.6,23.3,14.2,rural,Higher,16.6
171.3,39.7,37.7,rural,Basic,19
187.8,21.1,9.5,suburban,Medium,15.6
4.1,11.6,5.7,rural,Higher,3.2
93.9,43.5,50.5,suburban,Basic,15.3
149.8,1.3,24.3,urban,Medium,10.1
11.7,36.9,45.2,suburban,Higher,7.3
131.7,18.4,34.6,rural,Basic,12.9
172.5,18.1,30.7,rural,Basic,14.4
85.7,35.8,49.3,suburban,Higher,13.3
188.4,18.1,25.6,suburban,Medium,14.9
163.5,36.8,7.4,rural,Medium,18
117.2,14.7,5.4,suburban,Higher,11.9
234.5,3.4,84.8,suburban,Basic,35
17.9,37.6,21.6,rural,Basic,8
206.8,5.2,19.4,urban,Higher,12.2
215.4,23.6,57.6,suburban,Medium,17.1
284.3,10.6,6.4,suburban,Medium,15
50,11.6,18.4,suburban,Higher,8.4
164.5,20.9,47.4,rural,Basic,14.5
19.6,20.1,17,urban,Higher,7.6
168.4,7.1,12.8,suburban,Basic,23
222.4,3.4,13.1,urban,Medium,11.5
276.9,48.9,41.8,rural,Higher,27
248.4,30.2,20.3,rural,Basic,31
170.2,7.8,35.2,rural,Medium,11.7
276.7,2.3,23.7,rural,Higher,11.8
165.6,10,17.6,rural,Basic,12.6
156.6,2.6,8.3,suburban,Basic,10.5
218.5,5.4,27.4,rural,Higher,12.2
56.2,5.7,29.7,rural,Medium,8.7
287.6,43,71.8,suburban,Medium,26.2
253.8,21.3,30,rural,Higher,17.6
205,45.1,19.6,suburban,Basic,29
139.5,2.1,26.6,rural,Basic,10.3
191.1,28.7,18.2,suburban,Higher,17.3
286,13.9,3.7,urban,Medium,15.9
18.7,12.1,23.4,suburban,Medium,6.7
39.5,41.1,5.8,rural,Higher,10.8
75.5,10.8,6,suburban,Basic,9.9
17.2,4.1,31.6,rural,Higher,5.9
166.8,42,3.6,suburban,Basic,19.6
149.7,35.6,6,rural,Medium,17.3
38.2,3.7,13.8,suburban,Higher,7.6
94.2,4.9,8.1,rural,Basic,12
177,9.3,6.4,suburban,Medium,12.8
283.6,42,66.2,rural,Higher,25.5
232.1,8.6,8.7,rural,Basic,49
